artist,song,album,genres,total_plays,song_length_ms,total_elapsed_ms
Florence + The Machine,Caught,"How Big, How Blue, How Beautiful","indie rock,indie pop,indie",1,264026,3970
Burna Boy,Spiritual,African Giant (Explicit),"rap,hip-hop",1,221880,221797
Vance Joy,Winds of Change,Dream Your Life Away,"indie,indie folk,folk,indie pop",1,135826,135790
Daniel Caesar,Shot My Baby,NEVER ENOUGH (Bonus Version) (Explicit),"",1,268221,268199
Mahalia,Ready,IRL (Explicit),"",1,181533,181487
Olivia Dean,Lady Lady,The Art of Loving,"pop,soul,rhythm and blues,neo soul",1,209000,208979
BigXthaPlug,The Largest (Explicit),TAKE CARE (Explicit),hip-hop,1,132160,77740
Arctic Monkeys,Balaclava,Favourite Worst Nightmare (Standard Version),"indie rock,indie,british,rock,alternative",1,167440,167369
Lana Del Rey,Diet Mountain Dew,Born To Die (Explicit),"indie,pop,female vocalists,indie pop",1,222920,222876
Hozier,From Eden,Hozier (Explicit),"soul,indie,blues,folk,indie rock",1,283466,283376
Lana Del Rey,National Anthem,Born To Die (Explicit),"indie,pop,female vocalists,indie pop",1,230533,230530
Megan Thee Stallion,Realer (Explicit),Fever (Explicit),rap,1,149703,149629
Olivia Dean,A Couple Minutes,The Art of Loving,"pop,soul,rhythm and blues,neo soul",1,212000,211951
Kanye West,Wolves (Explicit),The Life Of Pablo (Explicit),"hip hop,rap",1,301586,301583
Dexta Daps,Lift My Hands (Explicit),VENT (Explicit),"dancehall,reggae",1,208571,208561
Mahalia,Terms and Conditions (Explicit),IRL (Explicit),"",1,209682,209629
Nina Simone,One September Day,I Put A Spell On You,"jazz,soul,vocal jazz,blues",1,168106,168071
